dcode,hfcode,u5mort_end,avg_visits_mo_end,treatment,avg_charge_drugs,avg_charge_gentreat,avg_charge_injection,avg_charge_del,equip,wtime,hfx_ratio,NGO_ratio,PFP_ratio,STTH_ratio,OthGov_ratio,Other_ratio,polite1,attention1,express_free1,avgDEL,avgOP,avg_eryth,avg_chloro,avg_cotrim,avg_quinine,avg_meb,villagen,village1,village3,hhs,hh_vill,newspaper,radio,dist432,distLC1,nopower04,DMU,drinksafely_2004,ws1,frac_alevel
7,1086,0,847.5555,1,0,.05263157934,0,0,.3548387,165.8,.3197391,.0059361,.2101166,.3568433,.0966122,.0107527,2.870968,3.16129,3.83871,2,538.3333,83.333333,2500,2166.6667,0,1083.3333,11,2,3,668,60.72727,0,0,12,1,0,1,0,0,.4
7,1088,15.38462,361.8889,0,0,.02941176482,.10526315868,1,.4074074,147.6757,.2975407,0,.1782881,.2604254,.2637459,0,2.740741,3.222222,3.925926,1,578.6667,83.333333,1666.6667,1916.6667,416.66667,583.33333,17,1,6,1351,79.47059,0,0,15,.1,31,1,0,0,0
8,31,4.062288,575.4445,0,0,.05714285746,.4375,.5,.7297297,105.5102,.2936351,.0182645,.3114101,.320278,.0564123,0,3.243243,3.378378,3.864865,4,395.6667,250,1166.6667,1416.6667,333.33333,1916.6667,13,3,4,1159,89.15385,0,0,20,.5,4,1,0,0,.4285714
8,32,17.82178,764.2222,1,.03333333507,.04081632569,.35135135055,.80000001192,.6727273,187.9565,.2719374,.1093641,.1756982,.3626778,.044216,.0361064,3.272727,3.418182,3.927273,3.5,496.6667,500,3416.6667,3000,750,2666.6667,45,4,17,3667,81.48889,1,0,14.4,.5,3,1,0,0,0
8,33,18.78914,612.5556,1,.07999999821,.09090909362,.27272728086,1,.6071429,126.1429,.1024847,.0374774,.2412307,.5296929,.0398153,.045707,3.107143,3.214286,3.857143,10.5,315.3333,83.333333,1083.3333,1166.6667,250,750,14,4,5,1791,127.9286,0,0,7,.3,31,1,0,0,.1428571
9,16,12.76143,865.8889,1,.05263157934,.47058823705,0,.75,.6363636,86.16129,.2456788,.0020336,.1870561,.3073629,.2084308,.0233629,3.272727,3.309091,3.872727,4.5,127.3333,333.33333,2000,2750,250,1083.3333,16,3,5,1586,99.125,0,0,.5,.5,3,1,0,0,.2
9,22,14.72995,871.2222,0,.01587301679,.01754385978,.10714285821,.88888889551,.7017544,143.8028,.3275572,.0350241,.2034683,.3352951,.0940399,0,3.206897,3.310345,3.862069,14,699.6667,416.66667,2916.6667,3175,250,1416.6667,37,2,17,2772,74.91892,0,1,4,.5,0,1,0,0,.2222222
9,1018,9.474931,782.8889,1,0,.01298701297,.36585366726,.53846156597,.5921053,143.6264,.3493811,.0130778,.1298375,.3184172,.1861623,0,3.078947,3.236842,3.842105,10.5,421,333.33333,2500,500,250,2166.6667,18,2,9,2078,115.4444,0,1,12,1,31,1,0,0,.1
9,1019,11.85771,537.1111,0,0,0,.03846153989,.20000000298,.6734694,138.5,.265205,.0103755,.3301426,.3182844,.0647298,.0072016,3.061224,3.163265,3.77551,10.5,518.3333,333.33333,2000,333.33333,100,750,18,3,7,2300,127.7778,1,1,11.3,1,3,1,0,0,.2222222
9,1023,5.988024,754.1111,1,0,.09090909362,0,.75,.7647059,134.8333,.3585082,.0056804,.2032852,.3323973,.0933979,.0033003,3.264706,3.294118,3.970588,6,1133,333.33333,1750,3750,250,1666.6667,21,1,11,2522,120.0952,0,1,8,.3,31,1,0,0,.0833333
9,1025,27.30997,726.2223,0,0,.01694915257,.07894736528,.54545456171,.6393443,107.924,.4339217,.0117494,.1689639,.3022859,.081777,.0013021,3.065574,3.131148,3.606557,6,543,583.33333,2916.6667,3500,333.33333,1750,27,1,9,2394,88.66666,0,1,5,.2,31,1,0,0,.25
10,70,0,1003.778,0,.01999999955,.01818181761,.80769228935,.83333331347,.175,173.2143,.4647978,0,.2511637,.2176508,.0635905,.0027972,3.125,3.25,3.825,25,617,250,2250,1416.6667,0,1000,13,0,5,1141,87.76923,0,0,5,2,0,1,1,0,.2
10,72,15.06907,622,1,.01960784383,0,.6451612711,.75,.2619048,175.3519,.4287658,.0166667,.2387491,.2198347,.0800115,.00625,2.952381,3.095238,3.857143,16.5,32,0,2250,916.66667,0,833.33333,13,1,5,1233,94.84615,0,0,7,.1,31,1,1,0,.3333333
10,73,16.32653,734.1111,1,0,.03703703731,.51612901688,.33333334327,.1219512,207.6167,.4347964,.0012285,.2920252,.1821968,.0868355,0,3.02439,3.170732,3.926829,4,1758.667,666.66667,4333.3333,3250,750,3000,8,1,2,792,99,0,0,12,2,31,1,1,0,.6
10,75,24.16107,953.0001,0,.02040816285,.03508771956,.43333333731,.66666668653,.1481481,221.4242,.3346814,.0612429,.2651232,.2419736,.0877036,.0092754,2.814815,2.888889,3.796296,14.5,470,83.333333,2100,300,0,636.36364,8,1,3,1095,136.875,0,0,30,2,31,1,0,0,.25
11,29,15.52393,1299.333,0,.15151515603,.25806450844,.05882352963,.5,.75,123.119,.2126868,.0601583,.2874173,.363307,.0431214,.0333092,3.107143,3.25,3.857143,10,684,500,2333.3333,2416.6667,250,1666.6667,29,4,11,3508,120.9655,0,0,.1,.1,31,1,0,0,.1428571
11,30,23.72714,433.4444,1,.02380952425,.03703703731,.5,.25,.4705882,95.17476,.121938,.0215283,.2007983,.4622514,.1487703,.0392298,2.970588,3.205882,3.838235,0,244,83.333333,1166.6667,1500,0,916.66667,32,2,11,3510,109.6875,0,0,8,.4,3,0,0,0,.6666667
11,34,41.30809,871.2222,0,.01666666754,0,.69230771065,.33333334327,.7222222,116.1733,.3070218,.0111255,.1820011,.4133855,.0604554,.0232835,3.166667,3.296296,3.851852,1.5,406.6667,416.66667,1333.3333,833.33333,333.33333,1000,24,1,11,2603,108.4583,0,0,12.8,0,7,1,0,0,.25
11,37,8.94521,1108.778,1,.26666668057,.20833332837,.36734694242,.89999997616,.6578947,97.5679,.2345049,.008814,.193442,.4435734,.0707485,.0487072,3.131579,3.315789,3.868421,9.5,335,250,1250,416.66667,166.66667,750,24,2,9,3045,126.875,1,0,13,3.2,2,1,1,0,.2
11,1028,13.35559,1027.556,0,0,0,.5,.5,.6956522,113.9153,.2979365,.0133754,.1988876,.3967848,.0815993,.0096802,3.26087,3.369565,3.956522,10.5,954,416.66667,1666.6667,1000,0,833.33333,36,1,16,3938,109.3889,1,1,.5,.5,31,1,0,0,.3333333
